Distance,Strands
0,no
33,-+
0,no
190,--
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
206,-+
0,no
465,+-
0,no
694,--
95,-+
457,-+
0,no
281,--
290,-+
450,++
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
361,--
92,+-
0,no
0,no
0,no
853,--
0,no
0,no
0,no
0,no
178,-+
0,no
418,--
0,no
573,-+
0,no
108,-+
449,--
0,no
0,no
0,no
110,+-
1095,--
0,no
0,no
113,++
0,no
0,no
0,no
0,no
0,no
0,no
1130,-+
567,-+
0,no
0,no
0,no
0,no
184,+-
434,+-
302,+-
41,-+
532,++
320,+-
0,no
69,--
0,no
0,no
219,--
1107,++
0,no
0,no
0,no
30,+-
0,no
0,no
0,no
772,++
330,--
276,++
0,no
0,no
350,+-
0,no
0,no
0,no
277,--
0,no
42,+-
0,no
165,++
334,++
398,+-
0,no
149,++
567,++
0,no
0,no
115,-+
335,+-
0,no
0,no
283,-+
127,--
0,no
253,+-
0,no
0,no
0,no
0,no
0,no
0,no
0,no
328,-+
0,no
272,--
0,no
0,no
0,no
0,no
0,no
938,++
65,-+
0,no
459,+-
63,-+
0,no
276,--
0,no
0,no
450,+-
0,no
0,no
0,no
0,no
0,no
251,+-
0,no
45,--
0,no
64,--
0,no
0,no
289,+-
0,no
595,-+
0,no
0,no
413,++
0,no
804,++
0,no
666,+-
0,no
0,no
0,no
521,+-
0,no
0,no
0,no
0,no
0,no
0,no
68,--
0,no
35,+-
0,no
0,no
504,+-
0,no
0,no
0,no
0,no
0,no
0,no
74,--
0,no
0,no
0,no
0,no
0,no
917,--
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
1257,-+
0,no
909,++
282,-+
0,no
0,no
0,no
0,no
0,no
0,no
197,++
28,++
0,no
0,no
0,no
2106,-+
145,--
0,no
0,no
0,no
86,--
0,no
0,no
625,-+
0,no
0,no
0,no
382,+-
390,--
0,no
0,no
577,+-
0,no
324,--
0,no
196,--
246,--
281,--
0,no
0,no
25,++
108,-+
240,--
0,no
0,no
198,-+
115,+-
0,no
0,no
857,--
0,no
103,++
281,+-
122,++
67,-+
129,--
41,-+
0,no
615,-+
0,no
650,+-
0,no
687,--
92,-+
103,++
1838,+-
83,-+
0,no
91,--
0,no
0,no
0,no
256,++
96,-+
0,no
60,-+
47,++
45,--
0,no
0,no
0,no
0,no
53,-+
0,no
0,no
0,no
0,no
98,-+
362,++
88,--
0,no
0,no
0,no
0,no
251,--
199,-+
549,--
378,-+
209,--
818,-+
0,no
0,no
0,no
0,no
44,+-
412,--
0,no
0,no
128,--
608,+-
0,no
0,no
0,no
157,-+
0,no
70,++
760,--
0,no
0,no
0,no
0,no
0,no
326,-+
64,+-
0,no
175,--
86,-+
0,no
0,no
0,no
155,++
0,no
0,no
0,no
194,-+
97,++
36,++
346,++
265,-+
0,no
183,--
0,no
0,no
0,no
633,++
491,-+
0,no
63,++
107,++
388,++
0,no
0,no
565,++
120,+-
236,-+
203,+-
182,-+
0,no
0,no
0,no
0,no
0,no
0,no
478,--
0,no
259,-+
0,no
461,+-
0,no
571,+-
0,no
0,no
0,no
0,no
0,no
925,++
50,++
260,-+
232,--
0,no
1181,+-
74,--
527,+-
127,++
0,no
670,+-
0,no
498,+-
518,--
0,no
1473,++
300,-+
0,no
350,--
0,no
0,no
0,no
845,++
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
0,no
